engine_value,engine_power,mileage,transmission,body,steering_wheel,color,year_of_issue
2.0,150,165693,механическая,внедорожник 5 дв.,Левый,белый,2013
2.0,128,250000,автоматическая,внедорожник 5 дв.,Правый,серебристый,1997
1.5,105,260000,вариатор,седан,Правый,синий,2002
2.0,150,146609,автоматическая,внедорожник 5 дв.,Левый,серый,2012
2.4,166,149000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2011
2.0,150,173000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2007
1.3,86 ,310000,вариатор,хэтчбек 5 дв.,Правый,белый,2004
3.5,281,154293,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
2.4,180,154950,автоматическая,седан,Левый,белый,2013
1.5,98 ,106,вариатор,микровэн,Правый,серебристый,1998
1.8,140,191000,механическая,седан,Левый,синий,2010
2.4,180,137000,автоматическая,седан,Левый,серый,2013
1.5,118,95600,автоматическая,компактвэн,Правый,серый,2010
2.0,128,177000,автоматическая,внедорожник 5 дв.,Левый,синий,1998
2.0,150,140000,автоматическая,внедорожник 5 дв.,Левый,серебристый,2007
1.5,192,38000,вариатор,седан,Левый,чёрный,2017
2.0,147,260000,механическая,внедорожник 5 дв.,Левый,чёрный,1999
2.4,166,140000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2011
2.0,147,242750,автоматическая,внедорожник 5 дв.,Левый,бежевый,2001
2.0,150,80000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2015
2.0,150,115777,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
2.0,150,179136,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.0,128,286650,автоматическая,внедорожник 5 дв.,Левый,синий,1998
2.0,150,62994,автоматическая,внедорожник 5 дв.,Левый,чёрный,2015
2.4,200,162700,автоматическая,седан,Левый,белый,2012
2.4,166,235738,автоматическая,внедорожник 5 дв.,Левый,серебристый,2008
1.3,83 ,168409,механическая,хэтчбек 5 дв.,Левый,белый,2002
1.8,140,209477,механическая,седан,Левый,чёрный,2008
3.5,249,90000,автоматическая,внедорожник 5 дв.,Левый,белый,2013
2.0,147,280000,автоматическая,внедорожник 5 дв.,Левый,золотистый,2000
1.8,140,205000,механическая,седан,Левый,синий,2008
1.5,105,224276,автоматическая,седан,Правый,белый,2003
2.0,150,198013,автоматическая,внедорожник 5 дв.,Левый,чёрный,2006
1.8,142,122915,механическая,седан,Левый,белый,2012
2.5,180,200000,автоматическая,седан,Правый,синий,1998
2.4,194,164000,автоматическая,внедорожник 5 дв.,Левый,белый,2013
2.4,190,375135,автоматическая,седан,Левый,чёрный,2006
2.4,166,114915,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.4,186,7000,вариатор,внедорожник 5 дв.,Левый,белый,2018
1.5,193,48500,вариатор,внедорожник 5 дв.,Левый,серый,2018
1.8,140,325645,автоматическая,седан,Левый,серый,2007
2.0,150,170000,автоматическая,внедорожник 5 дв.,Левый,белый,2014
2.2,145,300000,автоматическая,компактвэн,Правый,серебристый,1997
3.5,257,176301,автоматическая,внедорожник 5 дв.,Левый,серебристый,2008
2.4,201,267330,автоматическая,седан,Левый,чёрный,2008
2.2,185,314000,автоматическая,купе,Левый,красный,1997
1.8,140,250000,механическая,хэтчбек 5 дв.,Левый,красный,2006
2.0,128,320000,автоматическая,внедорожник 5 дв.,Левый,зелёный,1997
3.5,249,160112,автоматическая,внедорожник 5 дв.,Левый,белый,2013
1.8,140,182000,роботизированная,хэтчбек 5 дв.,Левый,красный,2008
2.0,150,178063,автоматическая,внедорожник 5 дв.,Левый,серебристый,2013
2.0,160,167000,автоматическая,минивэн,Правый,серебристый,2004
1.5,192,68000,вариатор,седан,Левый,серый,2018
1.5,150,74000,вариатор,минивэн,Правый,чёрный,2016
2.0,150,130617,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
1.5,174,55000,вариатор,купе,Левый,зелёный,2017
1.9,140,286524,автоматическая,седан,Правый,серебристый,2001
2.0,150,68000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2012
2.0,147,257000,автоматическая,внедорожник 5 дв.,Левый,бежевый,2001
2.4,180,160700,автоматическая,седан,Левый,чёрный,2013
3.5,295,185500,автоматическая,седан,Левый,серый,2006
2.0,155,295000,автоматическая,седан,Левый,красный,2005
2.0,150,49925,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
2.4,200,161005,автоматическая,седан,Левый,серый,2011
2.4,190,264255,автоматическая,седан,Левый,чёрный,2007
1.8,140,190000,автоматическая,седан,Левый,синий,2007
2.2,150,432178,автоматическая,седан,Правый,синий,1997
2.4,201,200000,механическая,седан,Левый,чёрный,2008
2.0,156,143000,автоматическая,седан,Левый,серый,2012
2.4,166,173000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2008
2.0,150,136000,автоматическая,внедорожник 5 дв.,Левый,серый,2013
2.0,150,86000,вариатор,минивэн,Правый,серый,2013
1.6,116,105000,механическая,хэтчбек 3 дв.,Левый,фиолетовый,1997
2.0,150,54198,механическая,внедорожник 5 дв.,Левый,чёрный,2013
2.0,145,103000,вариатор,седан,Правый,серый,2016
0.7,64 ,32000,вариатор,хэтчбек 5 дв.,Правый,голубой,2016
2.0,136,300000,автоматическая,универсал 5 дв.,Правый,серебристый,1997
2.4,190,140242,автоматическая,внедорожник 5 дв.,Левый,чёрный,2014
1.5,150,61000,вариатор,минивэн,Правый,белый,2017
1.3,100,93410,вариатор,хэтчбек 5 дв.,Правый,серебристый,2016
1.5,105,230000,автоматическая,универсал 5 дв.,Правый,белый,2002
1.5,105,290000,автоматическая,универсал 5 дв.,Правый,серый,2003
1.5,88 ,122000,вариатор,компактвэн,Правый,серебристый,2012
2.4,190,231000,автоматическая,седан,Левый,серый,2005
2.0,150,112000,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.0,150,119510,автоматическая,внедорожник 5 дв.,Левый,белый,2013
2.4,166,328775,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.0,128,295000,автоматическая,внедорожник 5 дв.,Правый,зелёный,1997
2.0,150,370850,автоматическая,внедорожник 5 дв.,Левый,голубой,2008
1.8,142,137845,автоматическая,седан,Левый,белый,2012
0.7,50 ,143000,автоматическая,хэтчбек 5 дв.,Правый,красный,2005
1.3,100,88000,вариатор,хэтчбек 5 дв.,Правый,серый,2016
2.4,201,197000,автоматическая,седан,Левый,чёрный,2008
1.3,83 ,180076,вариатор,хэтчбек 5 дв.,Левый,зелёный,2003
2.4,190,103111,автоматическая,внедорожник 5 дв.,Левый,чёрный,2013
2.0,128,330000,автоматическая,внедорожник 5 дв.,Правый,белый,1998
2.0,150,119962,механическая,внедорожник 5 дв.,Левый,серый,2008
2.4,200,140000,автоматическая,седан,Левый,белый,2010
3.5,257,132000,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.4,186,54035,вариатор,внедорожник 5 дв.,Левый,белый,2017
1.8,140,173000,механическая,седан,Левый,белый,2008
1.3,100,117000,вариатор,хэтчбек 5 дв.,Левый,белый,2012
2.0,150,117800,автоматическая,внедорожник 5 дв.,Левый,коричневый,2012
2.0,105,197000,механическая,седан,Левый,синий,1999
2.4,166,171668,автоматическая,внедорожник 5 дв.,Левый,коричневый,2010
2.4,166,170565,автоматическая,внедорожник 5 дв.,Левый,серебристый,2008
2.0,150,136724,автоматическая,внедорожник 5 дв.,Левый,коричневый,2013
2.4,170,161782,автоматическая,внедорожник 5 дв.,Левый,серый,2008
2.4,190,101000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2013
2.0,155,262583,автоматическая,седан,Левый,коричневый,2007
2.4,166,192850,автоматическая,внедорожник 5 дв.,Левый,белый,2012
1.9,140,240000,автоматическая,седан,Правый,чёрный,1997
2.4,190,138500,автоматическая,внедорожник 5 дв.,Левый,коричневый,2014
2.4,186,82000,вариатор,внедорожник 5 дв.,Левый,чёрный,2017
1.5,118,116000,вариатор,компактвэн,Правый,синий,2010
1.6,105,205000,механическая,внедорожник 5 дв.,Правый,синий,2000
2.0,150,58000,вариатор,внедорожник 5 дв.,Левый,серый,2017
2.4,190,133400,автоматическая,внедорожник 5 дв.,Левый,серебристый,2013
1.4,90 ,230000,механическая,хэтчбек 5 дв.,Левый,белый,1995
1.3,100,135000,роботизированная,хэтчбек 5 дв.,Левый,синий,2009
1.3,86 ,196800,вариатор,седан,Правый,серый,2004
1.5,88 ,133500,вариатор,компактвэн,Правый,серый,2014
2.4,162,152000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2005
1.3,91 ,281000,вариатор,хэтчбек 5 дв.,Правый,зелёный,1997
2.4,162,114931,автоматическая,внедорожник 5 дв.,Левый,чёрный,2004
2.0,150,80832,автоматическая,внедорожник 5 дв.,Левый,коричневый,2015
2.4,201,210000,автоматическая,седан,Левый,чёрный,2008
2.0,150,209000,автоматическая,внедорожник 5 дв.,Левый,чёрный,2007
2.4,166,117782,автоматическая,внедорожник 5 дв.,Левый,синий,2008
3.5,275,197664,автоматическая,внедорожник 5 дв.,Левый,белый,2011
2.4,201,188000,автоматическая,седан,Левый,серый,2008
2.0,155,182000,механическая,седан,Левый,коричневый,2007
2.0,150,228031,автоматическая,внедорожник 5 дв.,Левый,серебристый,2003
2.4,166,205200,автоматическая,внедорожник 5 дв.,Левый,чёрный,2010
2.4,166,68000,автоматическая,внедорожник 5 дв.,Левый,белый,2012
